embedding_index,pid,image_path
200,SHTE7H6ZXRZZPHGF,../data/images/SHTE7H6ZXRZZPHGF.jpg
201,TIEEHZDEDRUH6NMB,../data/images/TIEEHZDEDRUH6NMB.jpg
202,SHTEJGESKVEMGRYR,../data/images/SHTEJGESKVEMGRYR.jpg
203,LJGDWAC3ZATUGA3D,../data/images/LJGDWAC3ZATUGA3D.jpg
204,CAPEDZVRVGH9YZSZ,../data/images/CAPEDZVRVGH9YZSZ.jpg
205,BRFEGF7QDMHUSF2T,../data/images/BRFEGF7QDMHUSF2T.jpg
206,SWSEHK8ZMMYXGEFZ,../data/images/SWSEHK8ZMMYXGEFZ.jpg
207,TIEEDEY9PDYGWKDW,../data/images/TIEEDEY9PDYGWKDW.jpg
208,SWSEH7ZZ6EYGH7T2,../data/images/SWSEH7ZZ6EYGH7T2.jpg
209,SHTEJZKNDAFHN5MZ,../data/images/SHTEJZKNDAFHN5MZ.jpg
210,TSHDZ6S2XWQUHWZ9,../data/images/TSHDZ6S2XWQUHWZ9.jpg
211,BRAEDGQFWPFGVPNF,../data/images/BRAEDGQFWPFGVPNF.jpg
212,TSHDTTQFUDGGDHB8,../data/images/TSHDTTQFUDGGDHB8.jpg
213,BRAE6Y462EZP7QWA,../data/images/BRAE6Y462EZP7QWA.jpg
214,TSHECQN9DGJWGW9F,../data/images/TSHECQN9DGJWGW9F.jpg
215,ETHEG627YV8KBGJH,../data/images/ETHEG627YV8KBGJH.jpg
216,TSHE75PXSMNAZZVS,../data/images/TSHE75PXSMNAZZVS.jpg
217,KTAEG4P2NNNBDRMT,../data/images/KTAEG4P2NNNBDRMT.jpg
218,CSPDS8XMXBU5EQRT,../data/images/CSPDS8XMXBU5EQRT.jpg
219,BRAE3Y3FFZGZFKZN,../data/images/BRAE3Y3FFZGZFKZN.jpg
220,LJGE9YD3WZPRNQ4E,../data/images/LJGE9YD3WZPRNQ4E.jpg
221,BRAEDSGAZMGQDKTJ,../data/images/BRAEDSGAZMGQDKTJ.jpg
222,BZREGXNGANDWYZKU,../data/images/BZREGXNGANDWYZKU.jpg
223,SWTEDX3KRCTNHUGY,../data/images/SWTEDX3KRCTNHUGY.jpg
224,JCKEBGGJWV6UH4FV,../data/images/JCKEBGGJWV6UH4FV.jpg
225,BRAE2GWB6GSSCFGT,../data/images/BRAE2GWB6GSSCFGT.jpg
226,SKIE2XDWNFWZYK9S,../data/images/SKIE2XDWNFWZYK9S.jpg
227,TSHEBGC3SBJM3AQN,../data/images/TSHEBGC3SBJM3AQN.jpg
228,TSHE993QZHQGFEFP,../data/images/TSHE993QZHQGFEFP.jpg
229,BRAEDSKCZJHTVZNZ,../data/images/BRAEDSKCZJHTVZNZ.jpg
230,TSHE7G27YV8WZUFF,../data/images/TSHE7G27YV8WZUFF.jpg
231,JCKEEQP3QGVECNG7,../data/images/JCKEEQP3QGVECNG7.jpg
232,SHTE6GYZQTWVYYVA,../data/images/SHTE6GYZQTWVYYVA.jpg
233,TOPECJAMAHQZNZ8Z,../data/images/TOPECJAMAHQZNZ8Z.jpg
234,TSHE9K9KFVGBSZGH,../data/images/TSHE9K9KFVGBSZGH.jpg
235,SWDEGP9AHSFHRSUF,../data/images/SWDEGP9AHSFHRSUF.jpg
236,TOPE2RX95MBJFRTT,../data/images/TOPE2RX95MBJFRTT.jpg
237,TSHDUXJ2AUQPGHZT,../data/images/TSHDUXJ2AUQPGHZT.jpg
238,TSHDUXJFZ2YWCP86,../data/images/TSHDUXJFZ2YWCP86.jpg
239,CGNEDFY77SGZTEQ2,../data/images/CGNEDFY77SGZTEQ2.jpg
240,SHTECB92WG7ZCPBV,../data/images/SHTECB92WG7ZCPBV.jpg
241,ACBECFGTPPECWHKZ,../data/images/ACBECFGTPPECWHKZ.jpg
242,BRAEE6YMHGPCFTYJ,../data/images/BRAEE6YMHGPCFTYJ.jpg
243,SWSECUCFQQPWKTSA,../data/images/SWSECUCFQQPWKTSA.jpg
244,TOPE954FNTYZQVFZ,../data/images/TOPE954FNTYZQVFZ.jpg
245,LJGE2FAEGYYQAVWR,../data/images/LJGE2FAEGYYQAVWR.jpg
246,BRAE6FMZZVJVEHAZ,../data/images/BRAE6FMZZVJVEHAZ.jpg
247,TSHE4S26FVNGW5TZ,../data/images/TSHE4S26FVNGW5TZ.jpg
